ticker,name,close,gross_margin_ttm,operating_margin_ttm,net_margin_ttm,ebitda_margin_ttm
OTC:DBSDF,DBSDF,38.5600,,32.80%,28.77%,
NYSE:KKR,KKR,122.5500,45.29%,24.83%,11.49%,25.36%
NASDAQ:VRTX,VRTX,424.0300,86.08%,38.66%,31.92%,40.40%
NYSE:MO,MO,64.6650,71.63%,59.43%,43.24%,60.85%
NYSE:CCZ,CCZ,59.0000,,,,
NASDAQ:CMCSA,CMCSA,29.2950,58.17%,18.12%,18.44%,30.78%
NYSE:KKRT,KKRT,25.6350,45.29%,24.83%,11.49%,25.36%
NYSE:KKR/PD,KKR/PD,50.6358,45.29%,24.83%,11.49%,25.36%
NYSE:DELL,DELL,158.9200,20.96%,7.36%,4.72%,10.35%
NYSE:HCA,HCA,456.4600,15.24%,15.24%,8.21%,19.94%
NYSE:SO,SO,96.3100,30.62%,24.96%,15.10%,44.52%
NYSE:SOJE,SOJE,18.7500,30.62%,24.96%,15.10%,44.52%
NYSE:SOJD,SOJD,21.2050,30.62%,24.96%,15.10%,44.52%
NYSE:SOJC,SOJC,23.0073,30.62%,24.96%,15.10%,44.52%
NYSE:SOJF,SOJF,25.9800,30.62%,24.96%,15.10%,44.52%
NYSE:SCCO,SCCO,130.1250,50.55%,49.46%,30.37%,56.67%
OTC:SMFNF,SMFNF,27.0900,,17.86%,12.53%,
OTC:ZFSVF,ZFSVF,735.9240,,10.95%,7.39%,
NYSE:CVS,CVS,81.5382,13.78%,3.01%,1.17%,4.21%
OTC:EBBGF,EBBGF,24.5000,32.58%,17.44%,10.26%,25.95%
OTC:ENNPF,ENNPF,17.2227,32.58%,17.44%,10.26%,25.95%
OTC:EBGEF,EBGEF,24.7500,32.58%,17.44%,10.26%,25.95%
OTC:EBBNF,EBBNF,24.4500,32.58%,17.44%,10.26%,25.95%
OTC:EBRGF,EBRGF,14.5187,32.58%,17.44%,10.26%,25.95%
OTC:SMEGF,SMEGF,120.6250,15.61%,3.44%,2.49%,8.12%
NYSE:ENB,ENB,46.8950,32.58%,17.44%,10.26%,25.95%
NYSE:NKE,NKE,69.1200,41.45%,6.93%,6.22%,8.60%
OTC:IVSBF,IVSBF,33.0000,75.26%,54.76%,50.75%,
OTC:ESOCF,ESOCF,9.8800,21.80%,15.56%,7.77%,24.73%
NYSE:MCK,MCK,805.0200,3.28%,1.10%,0.84%,1.26%
NYSE:DUK,DUK,127.8600,31.75%,26.86%,15.44%,46.34%
OTC:ENBMF,ENBMF,15.0000,32.58%,17.44%,10.26%,25.95%
NYSE:DUKB,DUKB,24.7000,31.75%,26.86%,15.44%,46.34%
NYSE:DUK/PA,DUK/PA,25.1650,31.75%,26.86%,15.44%,46.34%
OTC:KYCCF,KYCCF,407.1855,83.50%,51.79%,37.02%,53.22%
OTC:MHVYF,MHVYF,29.1700,20.69%,6.63%,4.92%,9.79%
NASDAQ:SBUX,SBUX,86.1800,17.35%,10.20%,7.18%,14.89%
NYSE:PH,PH,770.8050,37.01%,20.84%,17.79%,25.41%
OTC:IVSXF,IVSXF,31.7800,75.26%,54.76%,50.75%,
NASDAQ:CME,CME,269.7700,82.80%,64.98%,58.78%,70.17%
OTC:AXAHF,AXAHF,45.4500,,9.72%,6.58%,
NYSE:RACE,RACE,409.3450,51.20%,29.36%,22.92%,38.75%
OTC:NTDOF,NTDOF,82.5620,49.83%,19.12%,19.72%,20.21%
OTC:AAIGF,AAIGF,9.1450,,33.08%,19.86%,
NASDAQ:CDNS,CDNS,350.4600,84.86%,30.82%,19.88%,35.07%
NYSE:TT,TT,426.1350,36.26%,18.39%,13.85%,20.26%
NYSE:NEM,NEM,85.1151,45.63%,42.37%,33.82%,55.77%
OTC:RNMBF,RNMBF,2028.6000,22.49%,13.51%,7.92%,17.82%
NYSE:GD,GD,343.5900,15.40%,10.30%,8.13%,12.10%
NYSE:MMC,MMC,187.2400,,25.68%,15.60%,29.02%
OTC:MSBHF,MSBHF,24.1150,9.16%,1.87%,4.40%,4.16%
NYSE:ICE,ICE,158.3796,69.67%,41.12%,25.74%,54.48%
NYSE:RBLX,RBLX,130.6000,26.30%,-27.35%,-23.67%,-21.69%
NYSE:BMO,BMO,126.1700,,14.07%,11.04%,
OTC:NPPXF,NPPXF,1.0500,14.84%,12.82%,7.18%,25.50%
NASDAQ:COIN,COIN,348.2300,87.19%,40.97%,33.75%,42.51%
NYSE:MMM,MMM,168.0600,40.63%,20.24%,13.70%,25.08%
OTC:BMYMP,BMYMP,730.0000,61.74%,26.11%,10.58%,39.72%
NYSE:BMY,BMY,43.6850,61.74%,26.11%,10.58%,39.72%
OTC:BPAQF,BPAQF,5.7500,15.81%,7.83%,0.27%,17.04%
NYSE:BAM,BAM,54.7800,86.58%,47.08%,61.51%,47.65%
OTC:TOELF,TOELF,192.7200,46.83%,27.88%,22.08%,30.61%
OTC:WEBNF,WEBNF,25.8200,,17.28%,11.78%,
OTC:BNPQF,BNPQF,79.0000,,11.06%,7.37%,
NASDAQ:SNPS,SNPS,471.9000,75.18%,20.79%,18.15%,27.11%
NYSE:MCO,MCO,488.4850,67.43%,43.77%,29.92%,50.02%
OTC:GLAXF,GLAXF,21.7800,71.69%,17.22%,10.82%,29.16%
NYSE:SNOW,SNOW,257.9000,65.45%,-34.71%,-33.53%,-29.83%
NYSE:WM,WM,214.3000,28.97%,17.88%,11.36%,29.21%
OTC:MGCOF,MGCOF,11.5780,26.02%,8.81%,9.89%,10.67%
NYSE:RCL,RCL,316.9875,39.27%,26.57%,20.97%,36.02%
OTC:SNPMF,SNPMF,0.5311,3.86%,-0.18%,1.34%,4.43%
